Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in EUR,Employment status,Сontract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Software Engineer,40,Lead,70000,Full-time employee,Unlimited contract,51-100,Product,,Ruby; ,Ruby on rails; ,,,,,
Software Engineer,10,Senior,70500,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,500,Java; ,,,,,,
Backend Developer,5,Senior,72000,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
Frontend Developer,5,Senior,73500,Full-time employee,Unlimited contract,011-050,Product,,JavaScript; ,,,,,,
Software Engineer,13,Lead,72000,Full-time employee,Unlimited contract,51-100,Product,,,.NET; ,,,,,
Frontend Developer,7,Senior,62000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,JavaScript; ,,,,,,
Hardware Engineer,15,Lead,83000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Data Scientist,10,Head,110000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,26,Senior,93000,Full-time employee,Unlimited contract,1000+,Product,,C#; ,,,,,,
Data Engineer,23,,110000,Company Director,Temporary contract,0-10,Personal Ltd,,Golang; ,,,,GCP; ,,
Software Engineer,3,Middle,55000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
Mobile Developer,6,Middle,53000,Full-time employee,Unlimited contract,011-050,Startup,,,,,,,Android; ,
Backend Developer,15,Senior,55000,Full-time employee,Unlimited contract,1000+,Product,600,Java; ,,,,,,
Software Engineer,10,Senior,75000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,C#; ,,,,,,
Software Engineer,7,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,1000,JavaScript; ,,,,,,
Engineering Manager,11,Lead,80000,Full-time employee,Unlimited contract,101-1000,Startup,200,Java; ,,,,,,
Backend Developer,5,Middle,55000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
DevOps,8,Middle,70200,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,4,Middle,50000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Java; ,,,,,,
Software Engineer,5,Senior,78000,Full-time employee,Unlimited contract,1000+,Startup,,Scala; ,,,,,,
Data Scientist,6,Middle,60000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,8,Lead,85000,Full-time employee,Unlimited contract,1000+,Product,,Golang; ,,,,,,
Analytics engineer,6,Middle,60000,Full-time employee,Unlimited contract,101-1000,Startup,500,,,,,,,
Software Engineer,10,Senior,72000,Full-time employee,Unlimited contract,101-1000,Product,,Scala; ,,,,,,
Localization producer,17,Middle,68500,Full-time employee,Unlimited contract,1000+,Product,8000,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,5,Senior,72000,Full-time employee,Unlimited contract,1000+,Product,,Kotlin; ,,,,,,
Software Engineer,5,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Software Engineer,9,Senior,60000,Full-time employee,Unlimited contract,011-050,Startup,,C#; ,.NET; ,,,,,
QA Engineer,10,Senior,61000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Data Scientist,4,Senior,73000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
DevOps,7,Lead,78000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
Data Scientist,4,Senior,81000,Full-time employee,Unlimited contract,101-1000,Product,300,Python; ,,,,,,
Hardware Engineer,5,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,VHDL; ,,,,,,
Reporting Engineer,3,Middle,55000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Account Managet,6,Senior,50000,Full-time employee,Temporary contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Product Manager,8,No level,55000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
QA Engineer,5,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,8,Lead,80000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
agile master ,14,Middle,80000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Software Engineer,7,Senior,60000,Full-time employee,Unlimited contract,51-100,Product,,,,,,,Android; ,
Backend Developer,8,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,,Scala; ,,,,,,
Backend Developer,7,Senior,78000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,10,Senior,68000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
QA Engineer,6,Middle,62000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,10,Senior,55000,Full-time employee,Unlimited contract,011-050,Startup,,PHP; ,,,,,,
Software Engineer,3,Middle,62000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Frontend Developer,12,Senior,72000,Full-time employee,Unlimited contract,0-10,Startup,,JavaScript; ,,,,,,
QA Engineer,5,Senior,58000,Full-time employee,Unlimited contract,1000+,Product,,Swift; ,,,,,,
ML Engineer,12,Senior,120000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Software Engineer,15,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,200,PHP; ,,,,,,
Data Scientist,3,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Solution Architect,6,Middle,85000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Frontend Developer,7,Senior,65000,Full-time employee,Unlimited contract,0-10,Startup,,JavaScript; ,,,,,,
Backend Developer,12,Lead,65000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
QA Engineer,6,Middle,50000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Backend Developer,8,Senior,72000,Full-time employee,Unlimited contract,101-1000,Startup,,Scala; ,,,,,,
Software Engineer,5,Middle,79000,Full-time employee,Unlimited contract,1000+,Product,900,C++; ,,,,,,
QA Engineer,6,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,1600,No info,No info,No info,No info,No info,No info,No info
Software Engineer,8,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; Scala; ,React; ,,,,,
BI Consultant,8,Senior,60000,Full-time employee,Unlimited contract,0-10,Consulting / Agency,1500,,,,,,,
Backend Developer,11,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,,PHP; ,,,,,,
Mobile Developer,5,Senior,57000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,iOS; ,
Fullstack Developer,10,Middle,49000,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Software Engineer,6,Senior,65000,Full-time employee,Unlimited contract,011-050,Startup,,Java; ,,,,,,
Data Scientist,3,Junior,70000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Mobile Developer,6,Middle,63000,Full-time employee,Unlimited contract,101-1000,Product,850,Swift; ,,,,,,
Product Manager,18,Middle,72000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,9,Senior,60000,Full-time employee,Unlimited contract,011-050,Startup,,C#; ,.NET; ,,,,,
Frontend Developer,6,Senior,75000,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Frontend Developer,8,Senior,70000,Full-time employee,Unlimited contract,101-1000,Startup,,JavaScript; TypeScript; ,,,,,,
Backend Developer,12,Senior,62000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Software Engineer,10,Lead,78000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
,17,Lead,120000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,5000,Java; ,,,,,,
Backend Developer,5,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,19,Senior,69000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Frontend Developer,7,Middle,54000,Full-time employee,Unlimited contract,011-050,Product,,JavaScript; ,,,,,,
Product Manager,6,Middle,62000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,13,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,20,Senior,80000,Full-time employee,Unlimited contract,51-100,Product,,Ruby; ,Ruby on rails; ,,,,,
QA Engineer,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Backend Developer,6,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Ruby; ,,,,,,
Software Engineer,12,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,200,C#; ,,,,,,
Cloud Architect,10,Senior,120000,Full-time employee,Unlimited contract,1000+,Cloud,1000,,,,,Azure; ,,
Designer (UI/UX),10,Senior,70000,Full-time employee,Unlimited contract,51-100,Product,,No info,No info,No info,No info,No info,No info,No info
System Administrator,14,Middle,44000,Full-time employee,Temporary contract,101-1000,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,7,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,,Scala; ,,,,,,
Data Scientist,5.5,Junior,48000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Frontend Developer,4,Middle,50000,Full-time employee,Unlimited contract,101-1000,Product,500,JavaScript; ,,,,,,
QA Engineer,7,Senior,68000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,12,Senior,66000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,1,Java; ,,,,,,
Product Manager,3,Middle,51000,Full-time employee,Unlimited contract,51-100,Product,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,4,Middle,60000,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
QA Engineer,20,Middle,55000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Product Manager,7,Head,150000,Full-time employee,Unlimited contract,1000+,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,20,Middle,54000,Full-time employee,Unlimited contract,101-1000,Behörde,,Java; ,,,,,,
Project Manager,14,Middle,62000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,8,Junior,60000,Full-time employee,Unlimited contract,51-100,Product,,Java; ,,,,,,
Software Engineer,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,1500,Java; ,,,,,,
Software Engineer,11,Senior,55000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Frontend Developer,4,Senior,60000,Full-time employee,Unlimited contract,51-100,Product,,,,,,,,
Software Engineer,7,Senior,62000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Java; JavaScript; ,,,,,,
Data Scientist,12,Senior,77500,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,5,Middle,60000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
DevOps,22,Lead,70000,Full-time employee,Unlimited contract,1000+,Startup,,,,,yaml; ,,,
Network Engineer ,10,Senior,68500,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Frontend Developer,10,Senior,71060,Full-time employee,Unlimited contract,51-100,Startup,200,JavaScript; ,,,,,,
QA Engineer,6,Middle,60000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
VP Engineering,10,VP,100000,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Backend Developer,4,Middle,28000,,,51-100,Startup,,Java; ,,,,,,
Backend Developer,6,Senior,70000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Java; ,,,,,,
Agile Coach,4,Senior,82000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,9,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,1000,Python; ,,,,,,
Mobile Developer,5,Lead,70800,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Swift; ,,,,,,
Software Engineer,8,Middle,55000,Full-time employee,Unlimited contract,011-050,Startup,,PHP; ,,,,,,
Mobile Developer,25,Lead,85000,Full-time employee,Unlimited contract,011-050,Product,,Swift; ,,,,,,
QA Engineer,13,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,500,Java; ,,,,,,
Backend Developer,5,Middle,66000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
ML Engineer,10,Middle,62000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Software Engineer,14,Lead,95000,Full-time employee,Unlimited contract,1000+,Product,500,Java; ,,,,,,
Backend Developer,18,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
QA Engineer,8,Senior,50000,Full-time employee,Unlimited contract,011-050,Startup,,,,,,,,
Software Engineer,11,Lead,80000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,Android; ,
Software Engineer,14,Senior,80000,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Mobile Developer,8,Senior,66000,Full-time employee,Unlimited contract,1000+,Product,,Kotlin; ,,,,,,
Data Science Manager,12,Manager,89200,Full-time employee,Unlimited contract,1000+,Construction,,Python; ,,,,,,
Product Manager,10,Senior,90000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
DevOps,20,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Data Scientist,10,Lead,115000,Full-time employee,Unlimited contract,1000+,Product,100,Python; ,,,,,,
Scrum Master,12,Senior,85000,Full-time employee,Unlimited contract,1000+,Product,,,,,Agile; ,,,
Mobile Developer,6,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
Firmware Engineer,10,Senior,45000,Full-time employee,Temporary contract,011-050,Product,,C; ,,,,,,
Frontend Developer,12,Lead,85000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; TypeScript; ,,,,,,
QA Engineer,5,Middle,50000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Software Engineer,13,Lead,140000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,,,,,,,
Software Engineer,12,Senior,120000,Self-employed (freelancer),Temporary contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,7,Middle,42000,Full-time employee,Unlimited contract,0-10,Product,,C; C++; Java; ,,,,,,
Solutions Architect,12,Lead,105000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Software Engineer,13,Senior,77000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Data Center Manager,6,Work Center Manager,68000,Full-time employee,Unlimited contract,1000+,Product,,C; ,,,,,,
Software Engineer,15,Senior,76000,Full-time employee,Unlimited contract,1000+,Product,,C#; ,,,,,,
Fullstack Developer,9,Senior,70000,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Software Engineer,8,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,,Golang; ,,,,,,
Software Engineer,9,Middle,63000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
ML Engineer,10,Lead,96000,Full-time employee,Unlimited contract,011-050,Product,,Scala; ,,,,,,
Software Engineer,7,Senior,64000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Product Manager,10,Senior,60000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,10,Senior,65000,Full-time employee,Unlimited contract,1000+,Product,,Swift; ,,,,,,
Software Engineer,6,Middle,61500,Full-time employee,Unlimited contract,1000+,Big commercial,,Java; ,,,,,,
Software Engineer,20,Senior,79000,Full-time employee,Unlimited contract,1000+,Product,500,Python; ,,,,,,
Software Engineer,16,Senior,65000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,5,Middle,63000,Full-time employee,Unlimited contract,101-1000,Product,850,Scala; ,,,,,,
Product Manager,3,Middle,62000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Software Engineer,12,Lead,95000,Full-time employee,Unlimited contract,011-050,Product,1500,Python; ,,,,,,
Designer (UI/UX),11,Senior,60000,Full-time employee,Unlimited contract,011-050,Startup,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,5,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Mobile Developer,3,Senior,58000,Full-time employee,Unlimited contract,011-050,Startup,,Swift; ,,,,,,
Data Scientist,5,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
QA Engineer,14,Lead,69000,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Backend Developer,5,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Mobile Developer,10,Lead,77000,Full-time employee,Unlimited contract,101-1000,Product,,Swift; ,,,,,,
Backend Developer,6,Senior,74000,Full-time employee,Unlimited contract,51-100,Product,,Java; ,Angular; ,,,AWS; ,,
Engineering Manager,7,Lead,80000,Full-time employee,Unlimited contract,1000+,Product,1600,Objective-C; Swift; ,,,,,,
QA Engineer,9,Senior,60000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,50,Java; ,,,,,,
DevOps,14,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
Backend Developer,10,Middle,56000,Full-time employee,Unlimited contract,1000+,Product,,PHP; ,,,,,,
Software Engineer,15,Senior,70000,Full-time employee,Unlimited contract,51-100,Startup,,,,,,,,
C/C++/Java developer,0.8,Junior,48000,Full-time employee,Unlimited contract,011-050,Product,250,Java; ,,,,,,
Backend Developer,4,Middle,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Java; ,,,,,,
Mobile Developer,8,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
DevOps Manager,10,Lead,100000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Software Engineer,11,Senior,60000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,,.NET; ,,,,,
Software Engineer,3,Middle,58000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,JavaScript; ,NodeJS; ,,,,,
Software Engineer,2,Middle,55200,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,,,,,,iOS; ,
Software Engineer,9,Senior,75000,Full-time employee,Temporary contract,1000+,Product,,R; ,,,,,,
Frontend Developer,15,Senior,50000,Full-time employee,Unlimited contract,101-1000,Product,,Java; JavaScript; ,,,,,,
ML Engineer,1,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Engineering Manager,9,Lead,95000,Full-time employee,Unlimited contract,1000+,Product,400,No info,No info,No info,No info,No info,No info,No info
Software Engineer,8,Senior,67200,Full-time employee,Unlimited contract,1000+,Outsorce,,C++; ,,,,,,
Backend Developer,,Senior,72000,Full-time employee,Unlimited contract,101-1000,Product,400,Ruby; ,,,,,,
Software Engineer,7,Senior,100000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Software Engineer,6,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,,,.NET; ,,,,,
Data Scientist,4,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,,R; ,,,,,,
Software Engineer,9,Middle,92500,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
QA Engineer,6,Middle,54000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Backend Developer,15,Lead,100000,Full-time employee,Unlimited contract,011-050,Startup,,Scala; ,,,,,,
ML Engineer,1.5,Junior,58000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Python; ,,,,,,
QA Engineer,6,Senior,70000,Full-time employee,Unlimited contract,1000+,Bank ,,Bash; ,,,,,,
Software Engineer,14,Senior,72000,Full-time employee,Unlimited contract,101-1000,Product,,C#; ,,,,,,
Team Lead,12,Head,90000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Python; ,,,,,,
Tech Lead,16,Lead,99000,Full-time employee,,101-1000,Fintech,,,.NET; ,,,,,
Network Administrator,9,Senior,61200,Full-time employee,Unlimited contract,1000+,Automotive,,,,,,,,
Security Manager,14,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
QA Engineer,10,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Consultant Data Analytics,1,Junior,45000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Python; ,,,,,,
BI IT Consultant,5,Middle,56000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Graphic Designer,11,Middle,32000,Full-time employee,Temporary contract,101-1000,Startup,,No info,No info,No info,No info,No info,No info,No info
